timestamp_event,timestamp_recv,best_bid,best_ask,mid
2026-01-04T23:52:56.121272Z,2026-01-04T23:52:56.070050+00:00,91388.61,91391.99,91390.30
2026-01-04T23:52:56.16261Z,2026-01-04T23:52:56.120956+00:00,91388.62,91391.99,91390.30
2026-01-04T23:52:56.225473Z,2026-01-04T23:52:56.172607+00:00,91388.66,91391.99,91390.33
2026-01-04T23:52:56.31236Z,2026-01-04T23:52:56.286209+00:00,91388.67,91391.99,91390.33
2026-01-04T23:52:56.344879Z,2026-01-04T23:52:56.319624+00:00,91388.69,91391.99,91390.34
2026-01-04T23:52:56.420362Z,2026-01-04T23:52:56.368217+00:00,91388.71,91391.99,91390.35
2026-01-04T23:52:56.45045Z,2026-01-04T23:52:56.418914+00:00,91388.71,91391.99,91390.35
2026-01-04T23:52:56.538519Z,2026-01-04T23:52:56.516201+00:00,91388.71,91391.99,91390.35
2026-01-04T23:52:56.719378Z,2026-01-04T23:52:57.343364+00:00,91388.72,91391.99,91390.36
2026-01-04T23:52:56.770399Z,2026-01-04T23:52:57.346502+00:00,91388.80,91391.99,91390.40
2026-01-04T23:52:56.824504Z,2026-01-04T23:52:57.352453+00:00,91390.01,91391.99,91391.00
2026-01-04T23:52:56.85389Z,2026-01-04T23:52:57.352629+00:00,91390.01,91390.24,91390.12
2026-01-04T23:52:56.91323Z,2026-01-04T23:52:57.354332+00:00,91390.01,91390.24,91390.12
2026-01-04T23:52:56.972746Z,2026-01-04T23:52:57.358897+00:00,91390.01,91390.24,91390.12
2026-01-04T23:52:57.004837Z,2026-01-04T23:52:57.359080+00:00,91390.01,91390.24,91390.12
2026-01-04T23:52:57.07012Z,2026-01-04T23:52:57.359216+00:00,91390.01,91390.24,91390.12
2026-01-04T23:52:57.129501Z,2026-01-04T23:52:57.359299+00:00,91390.01,91390.24,91390.12
2026-01-04T23:52:57.165905Z,2026-01-04T23:52:57.359700+00:00,91390.01,91390.24,91390.12
2026-01-04T23:52:57.267693Z,2026-01-04T23:52:57.359836+00:00,91390.01,91390.24,91390.12
2026-01-04T23:52:57.310383Z,2026-01-04T23:52:57.359895+00:00,91390.01,91390.24,91390.12
2026-01-04T23:52:57.327895Z,2026-01-04T23:52:57.362677+00:00,91390.01,91390.23,91390.12
2026-01-04T23:52:57.40403Z,2026-01-04T23:52:57.382354+00:00,91390.01,91390.23,91390.12
2026-01-04T23:52:57.423007Z,2026-01-04T23:52:57.430527+00:00,91390.01,91390.23,91390.12
2026-01-04T23:52:57.57706Z,2026-01-04T23:52:57.536857+00:00,91390.01,91390.23,91390.12
2026-01-04T23:52:57.620132Z,2026-01-04T23:52:57.570863+00:00,91390.01,91390.02,91390.01
2026-01-04T23:52:57.673336Z,2026-01-04T23:52:57.617801+00:00,91390.01,91390.02,91390.01
2026-01-04T23:52:57.722547Z,2026-01-04T23:52:57.682652+00:00,91390.01,91390.02,91390.01
2026-01-04T23:52:57.781563Z,2026-01-04T23:52:57.718844+00:00,91390.01,91390.02,91390.01
2026-01-04T23:52:57.815559Z,2026-01-04T23:52:57.768366+00:00,91390.01,91390.02,91390.01
2026-01-04T23:52:57.863256Z,2026-01-04T23:52:57.858635+00:00,91390.01,91390.02,91390.01
2026-01-04T23:52:57.959386Z,2026-01-04T23:52:57.918387+00:00,91390.00,91390.01,91390.01
2026-01-04T23:52:57.982286Z,2026-01-04T23:52:57.965448+00:00,91390.00,91390.01,91390.01
2026-01-04T23:52:58.045281Z,2026-01-04T23:52:58.018078+00:00,91390.00,91390.01,91390.01
2026-01-04T23:52:58.104445Z,2026-01-04T23:52:58.069740+00:00,91388.75,91388.76,91388.76
2026-01-04T23:52:58.153812Z,2026-01-04T23:52:58.119166+00:00,91388.75,91388.76,91388.76
2026-01-04T23:52:58.19439Z,2026-01-04T23:52:58.173473+00:00,91388.75,91388.76,91388.76
2026-01-04T23:52:58.238585Z,2026-01-04T23:52:58.221313+00:00,91388.75,91388.76,91388.76
2026-01-04T23:52:58.3081Z,2026-01-04T23:52:58.271785+00:00,91388.75,91388.76,91388.76
2026-01-04T23:52:58.347533Z,2026-01-04T23:52:58.383717+00:00,91388.75,91388.76,91388.76
2026-01-04T23:52:58.417295Z,2026-01-04T23:52:58.384288+00:00,91388.75,91388.76,91388.76
2026-01-04T23:52:58.45146Z,2026-01-04T23:52:58.424588+00:00,91388.75,91388.76,91388.76
2026-01-04T23:52:58.488116Z,2026-01-04T23:52:58.469218+00:00,91388.75,91388.76,91388.76
2026-01-04T23:52:58.541386Z,2026-01-04T23:52:58.518356+00:00,91388.75,91388.76,91388.76
